ID, PageRank
0.15,2311
0.6036708229230918,1316
0.3818475580681575,1366
0.9251363570144311,2230
0.405,732
0.7667165249296406,2067
0.8734223217235763,1731
1.029816677852008,2377
0.15,2174
1.145054351939573,1948
2.7357753973051824,2118
0.27749999999999997,2427
0.15,2344
0.15,2451
0.15,2132
0.15,2507
0.4784644462581209,2347
0.7721247931834774,2070
0.15,2523
0.15,2516
1.0931593548759118,241
0.15,1719
0.15,2540
0.9999902643284441,2342
0.9999902643284441,2370
0.15,2472
0.15,2549
1.874485898922574,2567
0.9466550466913606,2566
1.8788103760282835,2568
0.15,2569
0.15,2592
0.15,2603
0.15,2616
0.21375,2585
0.24084375,2622
0.15,2637
0.15,1774
0.15,2659
0.23039611964430073,2670
0.18916734033953111,2657
0.15,2675
0.15,2678
0.5691884599838318,2672
0.2467620381972514,2632
0.29919897131416734,2631
0.29919897131416734,2628
0.15,2665
0.33893145714838047,2680
0.3284171601201431,2682
0.6701444367080486,1543
0.7866034042398928,2683
0.3284171601201431,2684
0.48430644679618107,2685
0.15,2128
0.27749999999999997,2674
0.15,2699
0.4217276502468169,2574
0.15,2711
0.15,2720
0.15,2726
0.15,2738
0.9999902643284441,2758
0.9999902643284441,242
0.5767872316715431,2176
0.9999902643284441,2686
0.9999902643284441,2771
0.15,2788
0.15,2786
0.15,2409
0.15,2823
0.15,2828
0.15,2693
0.33747423780517727,2214
0.15,2884
0.15,2866
0.15,2812
0.15,2940
0.994867725542093,2942
0.15,2918
0.15,2859
0.27749999999999997,2688
0.15,3003
0.15,3010
2.929574709194598,2647
0.33747423780517727,2725
0.863167067514614,1555
0.15,2992
0.6010345511093984,2485
1.6930640066184879,1953
0.8164994623606294,6
0.33804124999999996,2388
0.15,3045
0.15,3092
0.15,224
0.21375,1675
0.15,2817
0.30937499999999996,3086
4.12620348466068,2642
0.6017803414852309,1743
0.25230265805248925,448
0.15,2905
0.25230265805248925,2013
0.4672454720087815,2763
0.15,3203
0.513375,1840
1.9236624329416108,2635
0.15,3218
0.15,3084
0.5650230837877455,3125
0.15,3190
1.320985649229355,3223
0.2823862170691548,3198
0.7114188858379181,3246
0.15,3197
0.15,2821
0.15,3276
0.9251363570144311,3281
0.15,3236
0.356125,2296
0.3492132755335328,2733
0.15,3308
0.3655323819978046,363
0.15,3287
0.15,3345
0.15,2825
0.15,3264
0.15,3395
0.27749999999999997,2484
0.15,3363
0.15,2966
1.2286320563277908,3377
0.9789545923614618,3598
0.15,2784
0.4640737170691548,2127
0.15,3456
0.15,1550
0.9999902643284441,3483
0.9999902643284441,3484
0.15,3489
0.3154902889625769,3500
3.2400678497150666,1018
0.15,3525
0.15,1815
0.15,3553
0.15,3554
0.15,3498
0.15,3556
0.15,3558
0.15,2063
0.15,3511
0.2245875,3562
0.1755,3563
0.1755,3564
0.1755,3565
0.1755,3566
0.19972499999999999,3567
0.19972499999999999,3569
0.15,3570
0.27749999999999997,3366
0.181875,2158
0.15,3591
1.6031948201370043,1810
0.15,2961
0.15,3615
0.17124999999999999,3545
0.17286582279599916,2173
0.15,3665
0.15,3678
0.15,3695
0.15,1565
1.3324226752023325,2625
0.26086956521739124,3723
0.15,3646
0.15,3732
0.31587557846771697,2962
0.15,2644
